id,discipline,statement,source,page,stage,reviewStatus,flags,reviewLevel,semanticVerdict,location
ca_MAWDR2Ra,艺术,年级· 能用传统工艺的方法制作或创作陶艺作品,7年级• 能用传统工艺的方法制作或创作陶艺作品。,70,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:101
ca_nAqbRdhc,艺术,能基本协调、连贯、节奏准确地呈现舞蹈动作,【学业要求】·在舞蹈体验过程中，能基本协调、连贯、节奏准确地呈现舞蹈动作。,82,"{""min"": ""G6"", ""max"": ""G7""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:117
ca_HRdKnswY,艺术,能选用2~3种不同的形式进行情境表演，基本表现出情境表演的主题和内容，动作符合音乐特点和角色特征,（艺术表现）• 能选用2～3种不同的形式进行情境表演，基本表现出情境表演的主题和内容，动作符合音乐特点和角色特征，能体现自己的想法。,108,"{""min"": ""G1"", ""max"": ""G9""}",ai-reviewed,"[""A06""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:139
ca_i4vVPJMs,艺术,能聆听音乐并描述其体裁、形式、风格等特征,（文化理解）第二学段（3～5年级）• 聆听音乐，对音乐表现要素及其表现作用，以及音乐的体裁、形式、风格等的感知、理解和判断基本正确，描述与分析中能较清楚地表明它们的特征。,108,"{""min"": ""G3"", ""max"": ""G3""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:140
ca_CKMvWy2e,艺术,能根据需求选择音乐并说明原因,• 在生活中会运用合适的音乐满足自己的需求，并能说明选择这些音乐的原因。,109,"{""min"": ""G1"", ""max"": ""G9""}",disputed,"[""A02"", ""A06""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:143
ca_y3iJdP8v,艺术,能识别并说出至少5种生活中常见的标识及其用途,（审美感知）• 能识别至少5种生活中常见的标识，知道其用途和所传递的信息，并能用自己的语言与同学分享、交流。,111,"{""min"": ""G1"", ""max"": ""G9""}",ai-reviewed,"[""A06""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:153
ca_kVWrSGi6,艺术,能对1~2件生活用品的设计提出改进想法，并进行装饰美化,（艺术表现、创意实践）• 能针对1～2件生活用品的设计提出改进的想法，并能进行装饰和美化。,111,"{""min"": ""G1"", ""max"": ""G1""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:154
ca_VAUpUXhS,艺术,能用讨论和比较的方法描述作品的主要内容和特点,（审美感知）• 能运用感悟、讨论和比较的方法，描述、分析作品的主要内容和特点。,111,"{""min"": ""G1"", ""max"": ""G9""}",ai-reviewed,"[""A06""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:157
ca_EPeydzSh,艺术,能为班级或学校的活动设计2~3件作品（如标识、请柬、贺卡或海报等）,（审美感知、创意实践）·能为班级或学校的活动设计2～3件作品（如标识、请柬、贺卡或海报等）。,112,"{""min"": ""G3"", ""max"": ""G5""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:158
ca_AB39EVss,艺术,能用身体语言配合音乐旋律、节奏表达自己的情绪与情感,·能用身体语言配合音乐旋律、节奏表达自己的情绪与情感。,114,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,"[""A13""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:162
ca_emrgtzaY,艺术,能基本模仿一段舞蹈并体验其舞姿美感，说出该舞蹈的风格或文化背景特点,能辨别不同舞蹈的动作、风格、服饰、道具等特点，并基本能在模仿表现中体验舞姿的美感，体会舞蹈文化的内涵；,115,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:163
ca_q4XM68Nq,艺术,能识别不同舞蹈表现形式的异同,（审美感知、艺术表现、文化理解）• 能识别不同舞蹈表现形式的异同；,115,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:164
ca_2nRzECfc,艺术,能在体验与想象的基础上，有感情地运用语言、肢体扮演剧目中的角色,能在体验与想象的基础上，有感情地运用语言、肢体扮演剧目中的角色；,115,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:167
ca_BJaacPhS,艺术,能分工协作，综合运用舞台艺术手段，完成剧目演出,能分工协作，综合运用舞台艺术手段，完成剧目演出；,115,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:169
ca_wdxeb4JG,艺术,能对影视（含数字媒体艺术）作品进行辨析、描述和评价,能对影视（含数字媒体艺术）作品进行辨析、描述和评价；,117,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:172
ca_2FJC4B83,艺术,能说出《中华人民共和国国歌》是学唱歌曲之一,学唱《中华人民共和国国歌》，以及富有中华优秀传统文化特色、主题鲜明、技法简洁的短小歌曲，以儿歌、童谣为主。,23,"{""min"": ""G1"", ""max"": ""G2""}",ai-adjudicated,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:175
ca_3auPHa3i,艺术,能说出听赏与评述是重要的音乐学习任务,听赏与评述是重要的音乐学习任务，是培育学生审美感知和文化理解素养的有效途径，对学生丰富情感体验和审美体验、积累欣赏音乐的经验、理解音乐相关文化、提高审美情趣具有重要作用。,29,"{""min"": ""G3"", ""max"": ""G9""}",ai-adjudicated,"[""A06""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:176
ca_YWL1eBtl,艺术,能说出简谱和五线谱是我国目前使用的两种主要乐谱形式,简谱和五线谱是我国目前使用的两种主要乐谱形式,38,"{""min"": ""G7"", ""max"": ""G9""}",ai-adjudicated,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:177
ca_ugSgRPcr,艺术,能说出广义的音乐作品可以是一段节奏或旋律,广义的音乐作品可以是一段节奏或旋律,46,"{""min"": ""G7"", ""max"": ""G9""}",ai-adjudicated,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:178
ca_nutkmCrm,艺术,能说出广义的音乐作品可以是一组动作或舞蹈,广义的音乐作品也可以是一组动作或舞蹈,46,"{""min"": ""G7"", ""max"": ""G9""}",ai-adjudicated,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:179
ca_X3pI2fSV,艺术,能说出广义的音乐作品可以是戏剧片段等,广义的音乐作品也可以是戏剧片段等,46,"{""min"": ""G7"", ""max"": ""G9""}",ai-adjudicated,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:180
ca_E1EwtpHn,艺术,能选择身边的材料自制简易乐器并尝试演奏,选择身边的材料，自制简易乐器，尝试演奏。,51,"{""min"": ""G3"", ""max"": ""G5""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:181
ca_LLtE7WXj,艺术,能运用生活中的物品自制简易乐器，为歌曲伴奏或表现音乐情境,能运用生活中的物品自制简易乐器，为歌曲伴奏或表现音乐情境。,51,"{""min"": ""G3"", ""max"": ""G5""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:182
ca_5FxoiynX,艺术,能尝试用毛笔等工具在宣纸上进行水墨游戏活动,尝试用毛笔等工具，在宣纸上进行水墨游戏活动，体验笔墨趣味。,57,"{""min"": ""G1"", ""max"": ""G2""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:184
ca_4oJdnTHW,艺术,尝试利用图形的对印在各种材质的纸上进行表现,尝试利用图形的对印，在各种材质的纸上进行表现，体会对称的形式原理。,57,"{""min"": ""G1"", ""max"": ""G2""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:185
ca_EqYJ50K3,艺术,能尝试用数码相机、摄像设备拍摄，制作定格动画作品,选择自己喜欢的玩具或制作的泥塑，尝试用数码相机、摄像设备拍摄，制作定格动画作品。,57,"{""min"": ""G1"", ""max"": ""G2""}",ai-reviewed,"[""A09""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:186
ca_wxy93nLa,艺术,能说出中国传统工艺是中华民族文化艺术的瑰宝,知道中国传统工艺来自民间，是中华民族文化艺术的瑰宝。,58,"{""min"": ""G1"", ""max"": ""G2""}",ai-adjudicated,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:187
ca_e5u7YFZu,艺术,能说出日常生活用品都是经过设计的,知道我们的生活离不开设计，日常生活用品都是经过设计的。,58,"{""min"": ""G1"", ""max"": ""G2""}",ai-adjudicated,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:188
ca_aznbaEsx,艺术,"能说出平行透视的知识是物体在空间中""近大远小""的变化规律",观察室内或室外物体在空间中“近大远小”的变化规律，了解平行透视的知识。,62,"{""min"": ""G3"", ""max"": ""G4""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:189
ca_4mBPhXJr,艺术,能说出中国传统绘画技法是由我国历代画家不断探索、总结而成的,知道中国传统绘画技法是由我国历代画家不断探索、总结而成的。,62,"{""min"": ""G3"", ""max"": ""G4""}",ai-adjudicated,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:190
ca_o5ghwPHL,艺术,"能说出""实用与美观相结合""是设计原则",观察学习与生活用品，了解“实用与美观相结合”的设计原则,62,"{""min"": ""G3"", ""max"": ""G4""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:191
ca_6kuQkLDH,艺术,能说出形状、色彩、空间是造型元素,运用形状、色彩、空间等造型元素，以及对称、节奏、比例、变化、统一等形式原理，欣赏、评述各国不同民族的建筑，领略各民族的智慧与深厚的文化底蕴。,66,"{""min"": ""G5"", ""max"": ""G6""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:193
ca_TIMBScHh,艺术,能说出中国传统绘画是中华优秀传统文化的重要组成部分,了解中国传统绘画的主要特点，知道中国传统绘画是中华优秀传统文化的重要组成部分。,68,"{""min"": ""G7"", ""max"": ""G9""}",ai-adjudicated,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:194
ca_aflpJ0Do,艺术,"能说出""人与自然和谐共生""是环境设计的原则",了解环境设计的定义、类别、要素和方法，领会“人与自然和谐共生”的设计原则。,69,"{""min"": ""G5"", ""max"": ""G6""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:195
ca_6v98UFFD,艺术,能说出世界各国的美术作品是不同文化的重要载体,世界各国的美术作品是不同文化的重要载体,72,"{""min"": ""G5"", ""max"": ""G6""}",ai-adjudicated,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:198
ca_JNUfKbit,艺术,能说出美术是认识与表现自我、他人和周围世界的重要方式,美术是认识与表现自我、他人和周围世界的重要方式,72,"{""min"": ""G5"", ""max"": ""G6""}",ai-adjudicated,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:199
ca_b3k9s1Df,艺术,能说出继承与创新是传统工艺创作的重要原则,继承与创新是传统工艺创作的重要原则,72,"{""min"": ""G5"", ""max"": ""G6""}",ai-adjudicated,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:200
ca_w4O2D1Xr,艺术,能说出中国画三远法是高远、平远、深远,了解中国画有关形似、神似的概念，以及三远法（高远、平远、深远）、勾勒、点厾、没骨等术语。,75,"{""min"": ""G7"", ""max"": ""G9""}",ai-adjudicated,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:202
ca_BVd9yLg4,艺术,能说出设计原则是形式、功能和社会责任相统一,理解形式、功能和社会责任相统一的设计原则。,76,"{""min"": ""G7"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:203
ca_Go3P6uox,艺术,能说出3~7年级舞蹈学习任务包括小型歌舞剧表演和即兴表演,3~7年级主要依托音乐及体育与健康、综合实践活动实施，学习任务为小型歌舞剧表演、即兴表演,81,"{""min"": ""G3"", ""max"": ""G7""}",ai-reviewed,"[""A06""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:208
ca_6tiC4rHQ,艺术,能说出戏剧游戏的重点学习内容是声音、肢体、情感的表现方法和技能,通过戏剧游戏重点学习声音、肢体、情感的表现方法和技能。,90,"{""min"": ""G7"", ""max"": ""G9""}",ai-reviewed,"[""A13""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:213
ca_GcHZA1D2,艺术,能说出第四学段的学习任务1是演出舞台剧目,第四学段（8～9年级）学习任务1：演出舞台剧目,91,"{""min"": ""G7"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:214
ca_HitSfjqU,艺术,"能说出3~7年级影视（含数字媒体艺术）的学习任务包括""领略蒙太奇""和""接触多媒体""",3~7年级主要依托美术及信息科技实施，学习任务包括“领略蒙太奇”和“接触多媒体”,98,"{""min"": ""G3"", ""max"": ""G7""}",ai-adjudicated,"[""A06""]",deterministic-screen-only,not-adjudicated,anchors/art.jsonl:215
ca_nQXPLl5G,艺术,能解释影视（含数字媒体艺术）是记录历史、解释历史的重要方式和载体,影视（含数字媒体艺术）是记录历史、解释历史的重要方式和载体,103,"{""min"": ""G7"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:216
ca_pP52rwAH,艺术,能区分所听音乐的体裁,• 能区分所听音乐的体裁、类别和表现形式，运用所学知识分析其特点和表现作用，阐述音乐表现要素与体裁、形式之间的关系；,32,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:217
ca_jygTd3sQ,艺术,能区分所听音乐的类别,• 能区分所听音乐的体裁、类别和表现形式，运用所学知识分析其特点和表现作用，阐述音乐表现要素与体裁、形式之间的关系；,32,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:218
ca_gShcURME,艺术,能区分所听音乐的表现形式,• 能区分所听音乐的体裁、类别和表现形式，运用所学知识分析其特点和表现作用，阐述音乐表现要素与体裁、形式之间的关系；,32,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:219
ca_dyQNHCBB,艺术,能运用所学知识分析其特点,• 能区分所听音乐的体裁、类别和表现形式，运用所学知识分析其特点和表现作用，阐述音乐表现要素与体裁、形式之间的关系；,32,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:220
ca_YEXJBaja,艺术,能运用所学知识分析其表现作用,• 能区分所听音乐的体裁、类别和表现形式，运用所学知识分析其特点和表现作用，阐述音乐表现要素与体裁、形式之间的关系；,32,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:221
ca_kMJGYbpW,艺术,按要求独立或与他人合作编创有重复和变化的节奏或旋律,• 按要求独立或与他人合作编创、表现有重复和变化的节奏或旋律；,44,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:222
ca_H3MjYiKy,艺术,按要求独立或与他人合作表现有重复和变化的节奏或旋律,• 按要求独立或与他人合作编创、表现有重复和变化的节奏或旋律；,44,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:223
ca_zFPssDTW,艺术,能说出一段舞蹈的审美特征与风格特点,7年级· 能感知和了解舞蹈、戏剧（含戏曲）等综合性表演艺术的审美特征与风格特点，理解作品的表现内容和内在意蕴。,48,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:224
ca_nFsezrqA,艺术,能说出一段戏剧片段的审美特征与风格特点,7年级· 能感知和了解舞蹈、戏剧（含戏曲）等综合性表演艺术的审美特征与风格特点，理解作品的表现内容和内在意蕴。,48,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:225
ca_HUrN6TiQ,艺术,能解释一段舞蹈的表现内容和内在意蕴,7年级· 能感知和了解舞蹈、戏剧（含戏曲）等综合性表演艺术的审美特征与风格特点，理解作品的表现内容和内在意蕴。,48,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:226
ca_uhkRPdSF,艺术,能解释一段戏剧片段的表现内容和内在意蕴,7年级· 能感知和了解舞蹈、戏剧（含戏曲）等综合性表演艺术的审美特征与风格特点，理解作品的表现内容和内在意蕴。,48,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:227
ca_fPETeiQk,艺术,能使用图形化工具设计日常物品与居室环境,• 尝试通过图形化工具，运用简单的程序语言，设计日常物品与居室环境，体验编程与设计的关系。,64,"{""min"": ""G6"", ""max"": ""G7""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:228
ca_nN3MyATF,艺术,能使用简单的程序语言设计日常物品与居室环境,• 尝试通过图形化工具，运用简单的程序语言，设计日常物品与居室环境，体验编程与设计的关系。,64,"{""min"": ""G6"", ""max"": ""G7""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:229
ca_aaxFZgki,艺术,能根据需要设计海报,· 能根据需要设计海报、请柬等。,69,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:230
ca_iZ76CL7U,艺术,能根据需要设计请柬,· 能根据需要设计海报、请柬等。,69,"{""min"": ""G8"", ""max"": ""G9""}",ai-reviewed,[],deterministic-screen-only,not-adjudicated,anchors/art.jsonl:231
